row_in_original_spreadsheet,study_id,key,name_in_study,description,marked_as_php_in_extraction,synonym_group,category,in_catalog,catalog_number,catalog_name,specificity,decision,notes
130,S11,abidi_2019,Unused Native Methods Declaration,Declaration of native methods that have no implementation in the other language. This can happen when features change or are removed. Refactoring: keep only the methods that are actually used in the interactions between the languages.,No,Unused Native Methods Declaration,Multi-language,No,,,,outside the catalog: not a PHP study,
131,S11,abidi_2019,Unused Native Method Implementation,"Implementation of native methods that are never called from the code of the host language. It can happen in large projects with multiple teams, where an overview of the system is lacking. Refactoring: remove unused methods to reduce complexity and improve clarity.",No,Unused Native Method Implementation,Multi-language,No,,,,outside the catalog: not a PHP study,
132,S11,abidi_2019,Not Handling Exceptions Across Languages,"Lack of exception handling in calls between languages, which can cause silent or hard-to-debug failures. Refactoring: check and handle exceptions explicitly after calls to methods of other languages to ensure the robustness of the code.",No,Not Handling Exceptions Across Languages,Multi-language,No,,,,outside the catalog: not a PHP study,
133,S11,abidi_2019,Assuming Safe Multi-language Return Values,"Assuming that the return values of methods in other languages are always safe and valid. This can cause errors if the returned value is null or incorrect. Refactoring: validate return values before using them, especially in calls between different languages.",No,Assuming Safe Multi-language Return Values,Multi-language,No,,,,outside the catalog: not a PHP study,
134,S11,abidi_2019,Not Caching Objects' Elements,"Repeatedly looking up object elements (such as method or field IDs) in calls between languages, which can affect performance because of the cost of these calls. Refactoring: cache the frequently accessed elements to reduce execution time.",No,Not Caching Objects' Elements,Multi-language,No,,,,outside the catalog: not a PHP study,
135,S11,abidi_2019,Not Securing Libraries,"Loading native libraries without proper security checks, allowing malicious code to access libraries without authorization. Refactoring: load libraries in secure code blocks, using permissions or security checks.",No,Not Securing Libraries,Multi-language,No,,,,outside the catalog: not a PHP study,
136,S11,abidi_2019,Hard Coding Libraries,"Loading libraries in a way hard-wired to specific operating systems, making the code less portable and harder to maintain. Refactoring: use an approach that distinguishes libraries for different operating systems in a clear and adaptable way.",No,Hard Coding Libraries,Multi-language,No,,,,outside the catalog: not a PHP study,
137,S11,abidi_2019,Not Using Relative Path to Load the Library,"Loading libraries without specifying a relative path, which reduces portability and hinders code reuse. Refactoring: use relative paths to ensure that the libraries can be loaded correctly regardless of the location of the system.",No,Not Using Relative Path to Load the Library,Multi-language,No,,,,outside the catalog: not a PHP study,
138,S11,abidi_2019,Memory Management Mismatch,"Lack of care when managing memory references between languages with different memory management paradigms, which can result in memory leaks. Refactoring: explicitly manage memory allocation and release in languages where this is not done automatically.",No,Memory Management Mismatch,Multi-language,No,,,,outside the catalog: not a PHP study,
139,S11,abidi_2019,Local References Abuse,"Improper use of local references, which may not be released automatically, leading to memory leaks. Refactoring: release local references manually after use, especially when using JNI, to avoid the unnecessary accumulation of objects.",No,Local References Abuse,Multi-language,No,,,,outside the catalog: not a PHP study,
140,S01,nguyen_2012,JS in HTML,"occurs when JavaScript code fragments are embedded in the HTML, mixing control logic (JS) with presentation content (HTML). This kind of code can appear as: embedded JavaScript: JS code directly inside a <script> tag. JavaScript in HTML links: JS embedded in the href attributes of links, such as <a href='javascript:history.back()'>. JavaScript in HTML events: JS embedded in event attributes, such as onclick.",No,Embedded/Inline JavaScript,PHP/web,Yes,5,Embedded/Inline JavaScript,W,ok (2026-09-24),Nguyen 2012 now counts as a PHP study (decision of 2026-09-24).
141,S01,nguyen_2012,CSS in JS,"occurs when style properties (CSS) are defined directly in the JavaScript code. Ideally, style (CSS) should be separated from control logic (JS) in different files.",No,CSS in JavaScript,PHP/web,Yes,7,CSS in JavaScript,W,ok (2026-09-24),Nguyen 2012 now counts as a PHP study (decision of 2026-09-24).
142,S01,nguyen_2012,CSS in HTML,"occurs when styles are defined directly inside the HTML, in the style attributes of HTML tags, instead of being separated into style sheets (CSS). This mixes presentation content (HTML) with style (CSS).",No,Embedded/Inline CSS,PHP/web,Yes,6,Embedded/Inline CSS,W,ok (2026-09-24),Nguyen 2012 now counts as a PHP study (decision of 2026-09-24).
143,S01,nguyen_2012,Fontes dispersas,"occurs when related portions of code are spread across different functions in the server-side code. This hinders maintenance because, for example, an opening and a closing HTML tag may be generated by different functions, making the code harder to validate and modify.",No,Scattered Sources,PHP/web,Yes,8,Scattered Sources,W,ok (2026-09-24),Nguyen 2012 now counts as a PHP study (decision of 2026-09-24).
144,S01,nguyen_2012,Duplicate JS,occurs when duplicated fragments of JavaScript code appear embedded in the server-side code. This kind of duplication reduces modularity and hinders maintenance.,No,Duplicate JS,PHP/web,Yes,9,Duplicate JS,W,ok (2026-09-24),Nguyen 2012 now counts as a PHP study (decision of 2026-09-24).
145,S01,nguyen_2012,HTML Syntax Error,"occurs when the generated HTML does not conform to the language specification (e.g., missing closing tags). These errors make the code harder to maintain and fix.",No,HTML Syntax Error,PHP/web,Yes,10,HTML Syntax Error,W,ok (2026-09-24),Nguyen 2012 now counts as a PHP study (decision of 2026-09-24).
146,S12,mello_2019,God Class,"Refers to a class that centralizes many responsibilities, which indicates lack of cohesion. This kind of smell can make the code hard to maintain and increase coupling between classes.",No,God Class / Blob,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
147,S12,mello_2019,Switch Statement,"Corresponds to the excessive use of conditional decision structures (switch or if-else), indicating a potential lack of use of polymorphism. It can hinder understanding and maintenance of the code.",No,Switch Statement / Type Checking,Complexity,No,,,,outside the catalog: not a PHP study,
148,S12,mello_2019,Long Method,"A method that is too long, usually containing multiple responsibilities. This kind of smell compromises code readability and hinders reuse.",No,Excessive Method Length,Size,No,,,,outside the catalog: not a PHP study,
149,S12,mello_2019,Feature Envy,"Occurs when a method in a class excessively accesses the data of another class. This indicates that the method may be better placed in another class, reducing coupling.",No,Feature Envy,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
150,S12,mello_2019,Duplicated Code,"Refers to code blocks copied to several places, which increases maintenance effort and the possibility of errors, since any changes must be replicated in all the places where the code was duplicated",No,Duplicate Code,Duplication,No,,,,outside the catalog: not a PHP study,
151,S05,arcelli_fontana_2015,God Class,"A class that does a lot of work on its own, delegating only minor details to other trivial classes and using data from other classes. This negatively affects the reuse and understanding of that part of the system.",No,God Class / Blob,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
152,S05,arcelli_fontana_2015,Brain Method,"A method that tends to centralize the functionality of a class, just as a God Class can centralize the functionality of a subsystem or of the whole system.",No,Brain Method,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
153,S05,arcelli_fontana_2015,Brain Class,"A class that accumulates an excessive amount of logic and functionality, usually in methods affected by Brain Method.",No,Brain Class,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
154,S05,arcelli_fontana_2015,Data Clumps,"Sets of data that are frequently together and, ideally, should be encapsulated in their own object.",No,Data Clumps,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
155,S05,arcelli_fontana_2015,Feature Envy,"When a method makes many calls to other classes to obtain data or functionality, showing ""envy"" of the data of another class.",No,Feature Envy,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
156,S05,arcelli_fontana_2015,Intensive Coupling,"Occurs when a method is strongly coupled to many other operations in the system, which are concentrated in one or a few classes.",No,Intensive Coupling,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
157,S05,arcelli_fontana_2015,Long Method,"A method that is long in terms of lines of code, which can hinder understanding and maintenance of the code. Short methods make it easier to extend and maintain the system.",No,Excessive Method Length,Size,No,,,,outside the catalog: not a PHP study,
158,S05,arcelli_fontana_2015,Shotgun Surgery,"A situation in which, to make a small change to a feature, several different places in the code must be modified.",No,Shotgun Surgery,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
159,S05,arcelli_fontana_2015,Type Checking,"Complex conditional code that selects a variant of an algorithm based on the value of an attribute, which can usually be simplified with polymorphism.",No,Switch Statement / Type Checking,Complexity,No,,,,outside the catalog: not a PHP study,
160,S13,bessghaier_diffusion_2020,Excessive Number of Children (ENOC),"A class with many descendants indicates an unbalanced class hierarchy, which can hinder code maintenance.",Yes,Number of Children,Inheritance and coupling,Yes,23,Number of Children,G,ok (2026-09-24),
161,S13,bessghaier_diffusion_2020,Excessive Depth of Inheritance (EDOI),"A class with a deep inheritance tree can make the code hard to maintain, since it increases coupling between classes.",Yes,Depth of Inheritance,Inheritance and coupling,Yes,22,Depth of Inheritance,G,ok (2026-09-24),
162,S13,bessghaier_diffusion_2020,High Coupling (HC),"A class with many dependencies hinders the maintenance and evolution of the system, since any change can have a large ripple effect.",Yes,Coupling Between Objects,Inheritance and coupling,Yes,21,Coupling Between Objects,G,ok (2026-09-24),
163,S13,bessghaier_diffusion_2020,Empty Catch Block (ECB),"An empty catch block makes it harder to identify and resolve failures at runtime, since there is no proper error handling.",Yes,Empty Catch Block,Exceptions,Yes,29,Empty Catch Block,G,ok (2026-09-24),
164,S13,bessghaier_diffusion_2020,Goto Statement (GTS),"The use of goto statements makes the code logic harder to understand, compromising readability and structure.",Yes,Goto Statement,PHP/web,Yes,2,Goto Statement,G,ok (2026-09-24),
165,S13,bessghaier_diffusion_2020,High Method Complexity (HMC),"Represents the cyclomatic complexity of a method, that is, the number of decision points (if, for, while, etc.). The higher the complexity, the more test cases are needed to check all possible executions.",Yes,Cyclomatic Complexity,Complexity,Yes,18,Cyclomatic Complexity,G,ok (2026-09-24),
166,S13,bessghaier_diffusion_2020,High NPath Complexity (HNPC),Refers to the number of possible execution paths in code with many nested conditionals (if/else). This reduces readability and makes testing harder.,Yes,NPath Complexity,Complexity,Yes,19,NPath Complexity,G,ok (2026-09-24),
167,S13,bessghaier_diffusion_2020,Excessive Method Length (EML),"When a method exceeds 100 lines of code, it becomes long and probably processes data in a complex way, hindering its understanding and maintenance.",Yes,Excessive Method Length,Size,Yes,12,Excessive Method Length,G,ok (2026-09-24),
168,S13,bessghaier_diffusion_2020,Excessive Class Length (ECL),"Large classes are a challenge for maintenance and efficiency, since their size usually implies an excessive responsibility that should be split.",Yes,Excessive Class Length,Size,Yes,11,Excessive Class Length,G,ok (2026-09-24),
169,S13,bessghaier_diffusion_2020,Excessive Parameter List (EPL),"A method with many parameters may indicate that it is performing many tasks, which makes it harder to understand and test.",Yes,Excessive Parameter List,Size,Yes,13,Excessive Parameter List,G,ok (2026-09-24),
170,S13,bessghaier_diffusion_2020,Too Many Public Methods (TMPM),"A high number of public methods indicates that the class does not preserve encapsulation, which increases the effort to maintain the internal behavior of the class without breaking dependencies.",Yes,Too Many Public Methods,Size,Yes,15,Too Many Public Methods,G,ok (2026-09-24),
171,S13,bessghaier_diffusion_2020,Too Many Methods (TMM),"A symptom that the class contains methods that are probably not its responsibility, which reduces cohesion and hinders maintainability.",Yes,Too Many Methods,Size,Yes,14,Too Many Methods,G,ok (2026-09-24),
172,S18,rubert_farias_2022,Duplicate codes,"Code segments that are repeated, which increases maintenance effort and the possibility of inconsistencies.",Yes,Duplicate Code,Duplication,Yes,24,Duplicate Code,G,ok (2026-09-24),
173,S18,rubert_farias_2022,Code complexity,"The number of paths and branches in the code, which hinder understanding and maintenance.",Yes,Cyclomatic Complexity,Complexity,Yes,18,Cyclomatic Complexity,G,ok (2026-09-24),
174,S20,rio_abreu_2023,Cyclomatic Complexity,"Excessive complexity in a method, computed as the number of decision points plus one. Threshold: 10.",Yes,Cyclomatic Complexity,Complexity,Yes,18,Cyclomatic Complexity,G,ok (2026-09-24),
175,S20,rio_abreu_2023,NPath Complexity,Excessive number of acyclic execution paths in a method. Threshold: 200.,Yes,NPath Complexity,Complexity,Yes,19,NPath Complexity,G,ok (2026-09-24),
176,S20,rio_abreu_2023,Excessive Method Length,"A method that performs many operations, becoming long and hard to understand. Threshold: 100 lines.",Yes,Excessive Method Length,Size,Yes,12,Excessive Method Length,G,ok (2026-09-24),
177,S20,rio_abreu_2023,Excessive Class Length (Classe Excessivamente Longa),"A class that contains too much code, indicating excessive responsibility. Threshold: 1000 lines.",Yes,Excessive Class Length,Size,Yes,11,Excessive Class Length,G,ok (2026-09-24),
178,S20,rio_abreu_2023,Excessive Parameter List,"A method that accepts an excessive number of parameters, hindering understanding and maintenance. Threshold: 10 parameters.",Yes,Excessive Parameter List,Size,Yes,13,Excessive Parameter List,G,ok (2026-09-24),
179,S20,rio_abreu_2023,Excessive Public Count,"A class with many public methods or attributes, suggesting excessive coupling. Threshold: 45 methods/attributes.",Yes,Excessive Public Count,Size,Yes,17,Excessive Public Count,G,ok (2026-09-24),
180,S20,rio_abreu_2023,Too Many Fields (Muitos Campos),"A class with an excessive number of fields, indicating possible multiple responsibilities. Threshold: 15 fields.",Yes,Too Many Fields,Size,Yes,16,Too Many Fields,G,ok (2026-09-24),
181,S20,rio_abreu_2023,Too Many Methods,"A class with many methods, suggesting an overload of functionality. Threshold: 25 methods.",Yes,Too Many Methods,Size,Yes,14,Too Many Methods,G,ok (2026-09-24),
182,S20,rio_abreu_2023,Too Many Public Methods,"A class with many public methods, which may indicate excessive exposure of functionality. Threshold: 10 methods.",Yes,Too Many Public Methods,Size,Yes,15,Too Many Public Methods,G,ok (2026-09-24),
183,S20,rio_abreu_2023,Excessive Class Complexity,Excessive total complexity of all methods in a class. Threshold: 50.,Yes,Excessive Class Complexity,Complexity,Yes,20,Excessive Class Complexity,G,ok (2026-09-24),
184,S20,rio_abreu_2023,Number of Children,"A class with an excessive number of subclasses, which can make the code hard to manage. Threshold: 15 subclasses.",Yes,Number of Children,Inheritance and coupling,Yes,23,Number of Children,G,ok (2026-09-24),
185,S20,rio_abreu_2023,Depth of Inheritance,"Excessive depth of the inheritance hierarchy, hindering code traceability. Threshold: 6 levels.",Yes,Depth of Inheritance,Inheritance and coupling,Yes,22,Depth of Inheritance,G,ok (2026-09-24),
186,S20,rio_abreu_2023,Coupling Between Objects (Acoplamento Entre Objetos),"A class with many dependencies, indicating high coupling and reducing modularity. Threshold: 13 dependencies.",Yes,Coupling Between Objects,Inheritance and coupling,Yes,21,Coupling Between Objects,G,ok (2026-09-24),
187,S20,rio_abreu_2023,Development Code Fragment,"A code fragment that should be used only during development, such as var_dump() or print_r(). Threshold: 1 occurrence.",Yes,Development Code Fragment,PHP/web,Yes,1,Development Code Fragment,P,ok (2026-09-24),
188,S20,rio_abreu_2023,Unused Private Field,"A private field that is not used anywhere, indicating dead code. Threshold: 1 occurrence.",Yes,Unused Private Field,Unused code,Yes,25,Unused Private Field,G,ok (2026-09-24),
189,S20,rio_abreu_2023,Unused Local Variable,A local variable that is declared but never used. Threshold: 1 occurrence.,Yes,Unused Local Variable,Unused code,Yes,27,Unused Local Variable,G,ok (2026-09-24),
190,S20,rio_abreu_2023,Unused Private Method,"A private method that is not invoked anywhere, indicating dead code. Threshold: 1 occurrence.",Yes,Unused Private Method,Unused code,Yes,26,Unused Private Method,G,ok (2026-09-24),
191,S20,rio_abreu_2023,Unused Formal Parameter,A method parameter that is never used inside the method. Threshold: 1 occurrence.,Yes,Unused Formal Parameter,Unused code,Yes,28,Unused Formal Parameter,G,ok (2026-09-24),
192,S09,soltanifar_2016,Incrementadores confusos,Use of incrementers in a way that hinders understanding.,Yes,Incrementadores confusos,Complexity,No,,,,"outside the catalog: code smell from Soltanifar's Project 1 (Java, PMD), confirmed in the original paper, Sections 3.1 and 3.3 (2026-09-24)","The extraction spreadsheet marked it as PHP-specific, but the paper shows it comes from the PMD analysis of the Java project."
193,S09,soltanifar_2016,Confusing use of for loops,Use of loops in an unclear way.,Yes,Confusing use of for loops,Complexity,No,,,,"outside the catalog: code smell from Soltanifar's Project 1 (Java, PMD), confirmed in the original paper, Sections 3.1 and 3.3 (2026-09-24)","The extraction spreadsheet marked it as PHP-specific, but the paper shows it comes from the PMD analysis of the Java project."
194,S09,soltanifar_2016,Unnecessary code,"Presence of redundant or unused code, such as unnecessary returns and useless parentheses.",Yes,Dead Code / unnecessary code,Unused code,No,,,,"outside the catalog: code smell from Soltanifar's Project 1 (Java, PMD), confirmed in the original paper, Sections 3.1 and 3.3 (2026-09-24)","The extraction spreadsheet marked it as PHP-specific, but the paper shows it comes from the PMD analysis of the Java project."
195,S09,soltanifar_2016,Strict Exceptions,Improper way of throwing and catching exceptions.,Yes,Strict Exceptions,Exceptions,No,,,,"outside the catalog: code smell from Soltanifar's Project 1 (Java, PMD), confirmed in the original paper, Sections 3.1 and 3.3 (2026-09-24)","The extraction spreadsheet marked it as PHP-specific, but the paper shows it comes from the PMD analysis of the Java project."
196,S09,soltanifar_2016,String and String Buffer,Problems related to the incorrect use of strings and buffers.,Yes,String and String Buffer,Other,No,,,,"outside the catalog: code smell from Soltanifar's Project 1 (Java, PMD), confirmed in the original paper, Sections 3.1 and 3.3 (2026-09-24)","The extraction spreadsheet marked it as PHP-specific, but the paper shows it comes from the PMD analysis of the Java project."
197,S09,soltanifar_2016,Nomes mal definidos,Variable names and identifiers that do not follow good practices.,Yes,Nomes mal definidos,Style,No,,,,"outside the catalog: code smell from Soltanifar's Project 1 (Java, PMD), confirmed in the original paper, Sections 3.1 and 3.3 (2026-09-24)","The extraction spreadsheet marked it as PHP-specific, but the paper shows it comes from the PMD analysis of the Java project."
198,S09,soltanifar_2016,Braces rules,Misplaced braces in code blocks.,Yes,Braces rules,Style,No,,,,"outside the catalog: code smell from Soltanifar's Project 1 (Java, PMD), confirmed in the original paper, Sections 3.1 and 3.3 (2026-09-24)","The extraction spreadsheet marked it as PHP-specific, but the paper shows it comes from the PMD analysis of the Java project."
199,S09,soltanifar_2016,Classes sobrecarregadas,Classes that have an excessive amount of code.,Yes,Excessive Class Length,Size,No,,,,"outside the catalog: code smell from Soltanifar's Project 1 (Java, PMD), confirmed in the original paper, Sections 3.1 and 3.3 (2026-09-24)","The extraction spreadsheet marked it as PHP-specific, but the paper shows it comes from the PMD analysis of the Java project."
200,S09,soltanifar_2016,Duplicated code,Parts of the code that are copied to different places.,Yes,Duplicate Code,Duplication,No,,,,"outside the catalog: code smell from Soltanifar's Project 1 (Java, PMD), confirmed in the original paper, Sections 3.1 and 3.3 (2026-09-24)","The extraction spreadsheet marked it as PHP-specific, but the paper shows it comes from the PMD analysis of the Java project."
201,S09,soltanifar_2016,Blocos vazios,Presence of code blocks that contain no statements.,Yes,Blocos vazios,Exceptions,No,,,,"outside the catalog: code smell from Soltanifar's Project 1 (Java, PMD), confirmed in the original paper, Sections 3.1 and 3.3 (2026-09-24)","The extraction spreadsheet marked it as PHP-specific, but the paper shows it comes from the PMD analysis of the Java project."
202,S09,soltanifar_2016,Clone Implementation,Improper use of the clone method.,Yes,Clone Implementation (use of the clone method),Other,No,,,,"outside the catalog: code smell from Soltanifar's Project 1 (Java, PMD), confirmed in the original paper, Sections 3.1 and 3.3 (2026-09-24)","The extraction spreadsheet marked it as PHP-specific, but the paper shows it comes from the PMD analysis of the Java project."
203,S09,soltanifar_2016,Optimization,Problems that affect the performance of the code.,Yes,Optimization,Other,No,,,,"outside the catalog: code smell from Soltanifar's Project 1 (Java, PMD), confirmed in the original paper, Sections 3.1 and 3.3 (2026-09-24)","The extraction spreadsheet marked it as PHP-specific, but the paper shows it comes from the PMD analysis of the Java project."
204,S09,soltanifar_2016,Security Code Guidelines,Violations of good practices related to security.,Yes,Security Code Guidelines,Other,No,,,,"outside the catalog: code smell from Soltanifar's Project 1 (Java, PMD), confirmed in the original paper, Sections 3.1 and 3.3 (2026-09-24)","The extraction spreadsheet marked it as PHP-specific, but the paper shows it comes from the PMD analysis of the Java project."
205,S09,soltanifar_2016,Missing semicolon,A JavaScript problem in which semicolons are missing.,Yes,Missing semicolon (JavaScript),Style,No,,,,remove: JavaScript problem,The spreadsheet itself describes it as a JavaScript problem.
206,S09,soltanifar_2016,Tag cannot be grouped with parameter tags,"Documentation tags grouped together with the @param tags, without the separation required by the coding standard (PHPCS message: ""Tag cannot be grouped with parameter tags""). It is the most frequent code smell in the study's PHP project.",Yes,Poorly Grouped Parameter Tags,Documentation,Yes,32,Poorly Grouped Parameter Tags,P,ok (2026-09-24),"Description rewritten from the original paper, Section 3.3 (2026-09-24)."
207,S09,soltanifar_2016,Missing function doc comment,Functions without documentation comments.,Yes,Missing Function Comments,Documentation,Yes,30,Missing Function Comments,P,ok (2026-09-24),
208,S09,soltanifar_2016,Missing @return tag in function comment,Missing description of the return value in function comments.,Yes,Missing @Return Tag in Comments,Documentation,Yes,31,Missing @Return Tag in Comments,P,ok (2026-09-24),
209,S09,soltanifar_2016,No space found after comma in function call,A code style problem in which there is no space after commas.,Yes,Incorrect Spacing After Commas,Style,Yes,36,Incorrect Spacing After Commas,P,ok (2026-09-24),
210,S09,soltanifar_2016,Opening/closing parenthesis of a multi-line function,Improper use of parentheses in multi-line functions.,Yes,Functions Parentheses on Multiple Lines,Style,Yes,37,Functions Parentheses on Multiple Lines,P,ok (2026-09-24),
211,S09,soltanifar_2016,"You must use ""/**"" style comments for a file",Requirement to use a specific comment style.,Yes,Comment Style (/**),Documentation,Yes,33,Comment Style (/**),P,ok (2026-09-24),
,S09,soltanifar_2016,Missing parameter name,@param tag without the parameter name in the documentation comment.,Yes,Missing Parameter Name,Documentation,Yes,34,Missing Parameter Name,P,"ok (2026-09-24): added from the original paper, Section 3.3 (Project 2 list, PHPCS); not in the extraction spreadsheet",
,S09,soltanifar_2016,There must be exactly one blank line before,Incorrect number of blank lines before the tags in the documentation comment.,Yes,Blank Line Before Tags,Style,Yes,38,Blank Line Before Tags,P,"ok (2026-09-24): added from the original paper, Section 3.3 (Project 2 list, PHPCS); not in the extraction spreadsheet",
,S09,soltanifar_2016,Opening brace should be on a new line,Opening brace outside the line required by the coding standard.,Yes,Brace Placement Rules,Style,Yes,35,Brace Placement Rules,P,"ok (2026-09-24): added from the original paper, Section 3.3 (Project 2 list, PHPCS); not in the extraction spreadsheet",
212,S04,yamashita_moonen_2013,Data Class,"Classes that contain only fields and access methods (getters and setters), without implementing specific functionality.",No,Data Class,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
213,S04,yamashita_moonen_2013,Data Clumps,"Sets of data that always appear together, within a class or across classes.",No,Data Clumps,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
214,S04,yamashita_moonen_2013,Duplicated Code in Conditional Branches,Code with similar or identical structure in different branches of a condition.,No,Duplicated Code in Conditional Branches,Duplication,No,,,,outside the catalog: not a PHP study,
215,S04,yamashita_moonen_2013,Feature Envy,A method that shows more interest in the data of another class than in that of the class where it is. It is advisable to move this method to the class that contains most of the data it uses.,No,Feature Envy,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
216,S04,yamashita_moonen_2013,God (Large) Class,A class that centralizes many responsibilities relative to the classes to which it is coupled. It violates the decomposition principle and hinders maintenance.,No,God Class / Blob,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
217,S04,yamashita_moonen_2013,God (Long) Method,"A method that is very long compared with the other methods of the same class, centralizing much of the functionality of the class.",No,Excessive Method Length,Size,No,,,,outside the catalog: not a PHP study,
218,S04,yamashita_moonen_2013,Misplaced Class,"Classes that, in ""God"" packages, need other classes from different packages more than classes from their own package.",No,Misplaced Class,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
219,S04,yamashita_moonen_2013,Refused Bequest,Subclasses that do not want or need everything they inherited from the parent class.,No,Refused Bequest,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
220,S04,yamashita_moonen_2013,Shotgun Surgery,A change in one class that requires several small changes in several other classes.,No,Shotgun Surgery,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
221,S04,yamashita_moonen_2013,Temporary Variable for Various Purposes,"Temporary variables that are used in different contexts, which can lead to confusion and the introduction of errors.",No,Temporary Variable Used for Several Purposes,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
222,S04,yamashita_moonen_2013,Use Interface Instead of Implementation,"Ideally, casting classes to specific implementations should be avoided, defining and implementing an interface instead.",No,Use Interface Instead of Implementation,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
223,S04,yamashita_moonen_2013,Interface Segregation Principle (ISP) Violation,"The dependency of one class on another should be on the smallest possible interface. Clients should not be forced to depend on methods they do not use, since this creates coupling.",No,Interface Segregation Principle Violation,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
224,S02,gauthier_merlo_2013,Implicitly Granted Privileges,"A privilege is granted implicitly along with another: routines protected by one privilege perform operations that would require another, without checking it (e.g., in Moodle, routines protected by lesson:edit also perform lesson:manage operations).",Yes,Implicitly Granted Privileges,PHP/web,Yes,3,Implicitly Granted Privileges,W,ok (2026-09-24),"Description rewritten from the original paper, Section V (2026-09-24)."
225,S02,gauthier_merlo_2013,Semantically Related Privileges,"Privileges with the same semantics duplicated for each component (e.g., 82 view privileges in Moodle), which couples privileges to components and makes the number of privileges grow with the system.",Yes,Semantically Related Privileges,PHP/web,Yes,4,Semantically Related Privileges,W,ok (2026-09-24),"Description rewritten from the original paper, Section V (2026-09-24)."
