linha_na_planilha_original,estudo_id,chave,nome_no_estudo,descricao,marcado_como_php_na_extracao,grupo_de_sinonimos,categoria,no_catalogo,n_no_catalogo,nome_no_catalogo,especificidade,decisao,observacoes
110,S21,saranya_2023,Long Parameter List,"Quando um método ou função tem muitos parâmetros, tornando o código mais difícil de entender, modificar e testar.",Não,Excessive Parameter List,Tamanho,Não,,,,fora do catálogo: estudo não é de PHP,
111,S21,saranya_2023,Parallel Decomposition,"Quando a herança e os métodos são organizados de forma a criar dependências desnecessárias, resultando em um código mais difícil de manter.",Não,Parallel Decomposition,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
112,excluído,raab_2012,Duplicated Code (Código Duplicado),"Um code smell que ocorre quando blocos de código são repetidos em diferentes partes do programa, tornando o código mais difícil de manter. No estudo, foi mencionado que a maioria dos estudantes não conseguiu reconhecer esse smell.",Não,Duplicate Code,Duplicação,Não,,,,"fora do catálogo: estudo excluído da seleção (CE5, pôster) em 24/09/2026",
113,excluído,raab_2012,Comments (Comentários),"Este code smell ocorre quando há comentários excessivos ou desnecessários no código, o que pode indicar que o código não é claro o suficiente por si só. Apenas alguns estudantes conseguiram identificar este smell no experimento mencionado no artigo.",Não,Comments (comentários em excesso),Documentação,Não,,,,"fora do catálogo: estudo excluído da seleção (CE5, pôster) em 24/09/2026",
114,excluído,raab_2012,Data Clumps (Agrupamentos de Dados),"Refere-se a grupos de variáveis que frequentemente aparecem juntas. Se variáveis costumam ser passadas juntas em várias funções ou classes, isso pode ser um sinal de que elas deveriam estar encapsuladas em uma classe ou estrutura.",Não,Data Clumps,Responsabilidades e projeto,Não,,,,"fora do catálogo: estudo excluído da seleção (CE5, pôster) em 24/09/2026",
115,excluído,raab_2012,Primitive Obsession (Obsessão por Tipos Primitivos),"Esse code smell surge quando tipos primitivos são usados excessivamente, em vez de objetos de alto nível. Isso pode resultar em código menos expressivo e mais difícil de manter.",Não,Primitive Obsession,Responsabilidades e projeto,Não,,,,"fora do catálogo: estudo excluído da seleção (CE5, pôster) em 24/09/2026",
116,S03,yamashita_counsell_2013,Data Class,"Classes que contêm apenas campos e métodos getters e setters, sem implementar funcionalidades específicas.",Não,Data Class,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
117,S03,yamashita_counsell_2013,Data Clumps,"Conjuntos de dados que são frequentemente encontrados juntos, seja dentro de classes ou entre classes.",Não,Data Clumps,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
118,S03,yamashita_counsell_2013,Duplicated Code in Conditional Branches,Código com estrutura idêntica ou semelhante repetida nos ramos de uma instrução condicional.,Não,Duplicated Code in Conditional Branches,Duplicação,Não,,,,fora do catálogo: estudo não é de PHP,
119,S03,yamashita_counsell_2013,Feature Envy,"Um método que parece mais interessado em outra classe do que na própria classe em que está, sugerindo que ele talvez devesse ser movido para a classe que possui os dados que ele utiliza.",Não,Feature Envy,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
120,S03,yamashita_counsell_2013,God (Large) Class,"Uma classe que assume muitas responsabilidades em relação às outras classes, centralizando a funcionalidade em uma única classe, o que vai contra os princípios de decomposição de design.",Não,God Class / Blob,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
121,S03,yamashita_counsell_2013,God (Long) Method,"Método muito longo que centraliza a funcionalidade de uma classe em um único método, dificultando a legibilidade e manutenção.",Não,Excessive Method Length,Tamanho,Não,,,,fora do catálogo: estudo não é de PHP,
122,S03,yamashita_counsell_2013,Misplaced Class,"Em ""pacotes principais"" (God Packages), uma classe que depende mais de classes de outros pacotes do que do seu próprio pacote.",Não,Misplaced Class,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
123,S03,yamashita_counsell_2013,Refused Bequest,Subclasses que não querem ou não precisam de tudo que herdam da classe pai.,Não,Refused Bequest,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
124,S03,yamashita_counsell_2013,Shotgun Surgery,Uma alteração em uma classe que resulta na necessidade de fazer várias pequenas alterações em várias outras classes.,Não,Shotgun Surgery,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
125,S03,yamashita_counsell_2013,Temporary Variable Used for Several Purposes,"Variáveis temporárias usadas para diferentes propósitos, o que pode causar confusão e introduzir falhas.",Não,Temporary Variable Used for Several Purposes,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
126,S03,yamashita_counsell_2013,Use Interface Instead of Implementation,"Evitar o uso de implementações concretas, preferindo o uso de interfaces para reduzir o acoplamento.",Não,Use Interface Instead of Implementation,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
127,S03,yamashita_counsell_2013,Interface Segregation Principle Violation,"Uma classe que depende de outra deveria depender da menor interface possível, evitando forçar dependências desnecessárias em métodos que não utiliza, o que aumenta o acoplamento",Não,Interface Segregation Principle Violation,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
128,S11,abidi_2019,Passing Excessive Objects,"Passar objetos inteiros entre linguagens em vez de apenas os parâmetros necessários pode reduzir a performance. Em sistemas multilinguagens, o custo de transferir objetos inteiros pode ser alto, especialmente se envolver várias chamadas para acessar cada campo de um objeto. Refatoração: Passar apenas os parâmetros necessários em vez do objeto completo.",Não,Passing Excessive Objects,Multilinguagem,Não,,,,fora do catálogo: estudo não é de PHP,
129,S11,abidi_2019,Unnecessary Parameters,"Inclui parâmetros desnecessários nas chamadas entre linguagens. Isso adiciona complexidade e dificulta a manutenção do código, especialmente quando os parâmetros não são utilizados no outro idioma. Refatoração: Remover os parâmetros que não são utilizados para simplificar a interface e melhorar a legibilidade.",Não,Unnecessary Parameters,Multilinguagem,Não,,,,fora do catálogo: estudo não é de PHP,
130,S11,abidi_2019,Unused Native Methods Declaration,Declaração de métodos nativos que não possuem implementação na outra linguagem. Isso pode ocorrer quando funcionalidades mudam ou são removidas. Refatoração: Manter apenas os métodos que são realmente usados nas interações entre as linguagens.,Não,Unused Native Methods Declaration,Multilinguagem,Não,,,,fora do catálogo: estudo não é de PHP,
131,S11,abidi_2019,Unused Native Method Implementation,"Implementação de métodos nativos que nunca são chamados a partir do código da linguagem hospedeira. Pode ocorrer em projetos grandes com múltiplas equipes, onde falta uma visão geral do sistema. Refatoração: Remover métodos que não são usados para reduzir a complexidade e melhorar a clareza.",Não,Unused Native Method Implementation,Multilinguagem,Não,,,,fora do catálogo: estudo não é de PHP,
132,S11,abidi_2019,Not Handling Exceptions Across Languages,"Falta de tratamento de exceções nas chamadas entre linguagens, o que pode causar falhas silenciosas ou difíceis de depurar. Refatoração: Verificar e tratar as exceções explicitamente após chamadas a métodos de outras linguagens para garantir a robustez do código.",Não,Not Handling Exceptions Across Languages,Multilinguagem,Não,,,,fora do catálogo: estudo não é de PHP,
133,S11,abidi_2019,Assuming Safe Multi-language Return Values,"Presumir que os valores de retorno de métodos em outras linguagens são sempre seguros e válidos. Isso pode causar erros se o valor retornado for nulo ou incorreto. Refatoração: Validar os valores de retorno antes de usá-los, especialmente em chamadas entre diferentes linguagens.",Não,Assuming Safe Multi-language Return Values,Multilinguagem,Não,,,,fora do catálogo: estudo não é de PHP,
134,S11,abidi_2019,Not Caching Objects' Elements,"Repetidamente buscar elementos de objetos (como IDs de métodos ou campos) em chamadas entre linguagens, o que pode impactar a performance devido ao custo dessas chamadas. Refatoração: Cachear os elementos que são frequentemente acessados para reduzir o tempo de execução.",Não,Not Caching Objects' Elements,Multilinguagem,Não,,,,fora do catálogo: estudo não é de PHP,
135,S11,abidi_2019,Not Securing Libraries,"Carregar bibliotecas nativas sem verificações de segurança adequadas, permitindo que código mal-intencionado acesse bibliotecas de forma não autorizada. Refatoração: Carregar bibliotecas em blocos de código seguros, usando permissões ou verificações de segurança.",Não,Not Securing Libraries,Multilinguagem,Não,,,,fora do catálogo: estudo não é de PHP,
136,S11,abidi_2019,Hard Coding Libraries,"Carregar bibliotecas de forma fixa para sistemas operacionais específicos, tornando o código menos portátil e mais difícil de manter. Refatoração: Usar uma abordagem que diferencie bibliotecas para diferentes sistemas operacionais de forma clara e adaptável.",Não,Hard Coding Libraries,Multilinguagem,Não,,,,fora do catálogo: estudo não é de PHP,
137,S11,abidi_2019,Not Using Relative Path to Load the Library,"Carregar bibliotecas sem especificar um caminho relativo, o que reduz a portabilidade e dificulta a reutilização do código. Refatoração: Utilizar caminhos relativos para garantir que as bibliotecas possam ser carregadas corretamente, independentemente da localização do sistema.",Não,Not Using Relative Path to Load the Library,Multilinguagem,Não,,,,fora do catálogo: estudo não é de PHP,
138,S11,abidi_2019,Memory Management Mismatch,"Falta de consideração ao gerenciar referências de memória entre linguagens com diferentes paradigmas de gerenciamento de memória, o que pode resultar em vazamentos de memória. Refatoração: Gerenciar explicitamente a alocação e liberação de memória em linguagens onde isso não é feito automaticamente.",Não,Memory Management Mismatch,Multilinguagem,Não,,,,fora do catálogo: estudo não é de PHP,
139,S11,abidi_2019,Local References Abuse,"Uso inadequado de referências locais, que podem não ser automaticamente liberadas, levando a vazamentos de memória. Refatoração: Liberar referências locais manualmente após o uso, especialmente ao usar JNI, para evitar o acúmulo desnecessário de objetos.",Não,Local References Abuse,Multilinguagem,Não,,,,fora do catálogo: estudo não é de PHP,
140,S01,nguyen_2012,JavaScript em HTML,"ocorre quando trechos de código JavaScript estão embutidos no HTML, misturando a lógica de controle (JS) com o conteúdo de apresentação (HTML). Esse tipo de código pode aparecer em:  JavaScript embutido: código JS diretamente dentro de uma tag <script>. JavaScript em links HTML: JS embutido em atributos href de links, como <a href='javascript:history.back()'>. JavaScript em eventos HTML: JS embutido em atributos de eventos, como onclick.",Não,Embedded/Inline JavaScript,PHP/web,Sim,5,Embedded/Inline JavaScript,W,ok (24/09/2026),Nguyen 2012 passou a contar como estudo de PHP (decisão de 24/09/2026).
141,S01,nguyen_2012,CSS em JavaScript,ocorre quando propriedades de estilo (CSS) são definidas diretamente no código JavaScript. O ideal seria separar o estilo (CSS) da lógica de controle (JS) em arquivos distintos.,Não,CSS in JavaScript,PHP/web,Sim,7,CSS in JavaScript,W,ok (24/09/2026),Nguyen 2012 passou a contar como estudo de PHP (decisão de 24/09/2026).
142,S01,nguyen_2012,CSS em HTML,"ocorre quando estilos são definidos diretamente dentro do HTML, em atributos style de tags HTML, em vez de serem separados em folhas de estilo (CSS). Isso mistura o conteúdo de apresentação (HTML) com o estilo (CSS).",Não,Embedded/Inline CSS,PHP/web,Sim,6,Embedded/Inline CSS,W,ok (24/09/2026),Nguyen 2012 passou a contar como estudo de PHP (decisão de 24/09/2026).
143,S01,nguyen_2012,Fontes dispersas,"ocorre quando porções de código relacionadas estão espalhadas por diferentes funções no código do servidor. Isso dificulta a manutenção, pois, por exemplo, uma tag HTML de abertura e fechamento pode ser gerada a partir de diferentes funções, dificultando a validação e modificação do código.",Não,Fontes dispersas,PHP/web,Sim,8,Fontes dispersas,W,ok (24/09/2026),Nguyen 2012 passou a contar como estudo de PHP (decisão de 24/09/2026).
144,S01,nguyen_2012,Duplicação de JavaScript,ocorre quando trechos duplicados de código JavaScript aparecem embutidos no código do servidor. Esse tipo de duplicação reduz a modularidade e dificulta a manutenção.,Não,JavaScript duplicado,PHP/web,Sim,9,JavaScript duplicado,W,ok (24/09/2026),Nguyen 2012 passou a contar como estudo de PHP (decisão de 24/09/2026).
145,S01,nguyen_2012,Erro de sintaxe em HTML,ocorre quando o HTML gerado não está em conformidade com as especificações da linguagem (ex.: falta de tags de fechamento). Esses erros tornam o código mais difícil de manter e corrigir.,Não,HTML com erro de sintaxe,PHP/web,Sim,10,HTML com erro de sintaxe,W,ok (24/09/2026),Nguyen 2012 passou a contar como estudo de PHP (decisão de 24/09/2026).
146,S12,mello_2019,God Class,"Refere-se a uma classe que centraliza muitas responsabilidades, o que indica falta de coesão. Esse tipo de smell pode tornar o código difícil de manter e aumentar o acoplamento entre classes.",Não,God Class / Blob,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
147,S12,mello_2019,Switch Statement,"Corresponde ao uso excessivo de estruturas de decisão condicionais (switch ou if-else), indicando potencial falta de uso de polimorfismo. Pode dificultar a compreensão e a manutenção do código.",Não,Switch Statement / Type Checking,Complexidade,Não,,,,fora do catálogo: estudo não é de PHP,
148,S12,mello_2019,Long Method,"Um método que é extenso demais, geralmente contendo múltiplas responsabilidades. Esse tipo de smell compromete a legibilidade do código e dificulta a reutilização.",Não,Excessive Method Length,Tamanho,Não,,,,fora do catálogo: estudo não é de PHP,
149,S12,mello_2019,Feature Envy,"Ocorre quando um método em uma classe acessa excessivamente dados de outra classe. Isso indica que o método pode estar melhor alocado em outra classe, reduzindo o acoplamento.",Não,Feature Envy,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
150,S12,mello_2019,Duplicated Code,"Refere-se a blocos de código copiados em vários lugares, o que aumenta o esforço de manutenção e a possibilidade de erros, pois quaisquer alterações precisam ser replicadas em todos os locais onde o código foi duplicado",Não,Duplicate Code,Duplicação,Não,,,,fora do catálogo: estudo não é de PHP,
151,S05,arcelli_fontana_2015,God Class,"Uma classe que executa muito trabalho sozinha, delegando apenas detalhes menores para outras classes triviais e utilizando dados de outras classes. Isso impacta negativamente a reutilização e a compreensão daquela parte do sistema.",Não,God Class / Blob,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
152,S05,arcelli_fontana_2015,Brain Method,"Método que tende a centralizar a funcionalidade de uma classe, assim como uma God Class pode centralizar a funcionalidade de um subsistema ou de todo o sistema.",Não,Brain Method,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
153,S05,arcelli_fontana_2015,Brain Class,"Classe que acumula uma quantidade excessiva de lógica e funcionalidade, geralmente em métodos afetados pelo Brain Method.",Não,Brain Class,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
154,S05,arcelli_fontana_2015,Data Clumps,"Conjuntos de dados que estão frequentemente juntos e, idealmente, deveriam ser encapsulados em seu próprio objeto.",Não,Data Clumps,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
155,S05,arcelli_fontana_2015,Feature Envy,"Quando um método faz muitas chamadas a outras classes para obter dados ou funcionalidade, demonstrando ""inveja"" dos dados de outra classe.",Não,Feature Envy,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
156,S05,arcelli_fontana_2015,Intensive Coupling,"Ocorre quando um método está fortemente acoplado a muitas outras operações no sistema, que estão concentradas em uma ou poucas classes.",Não,Intensive Coupling,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
157,S05,arcelli_fontana_2015,Long Method,"Um método que é longo em termos de linhas de código, o que pode dificultar a compreensão e manutenção do código. Métodos curtos facilitam a extensão e a manutenção do sistema.",Não,Excessive Method Length,Tamanho,Não,,,,fora do catálogo: estudo não é de PHP,
158,S05,arcelli_fontana_2015,Shotgun Surgery,"Situação em que, para fazer uma pequena alteração em uma funcionalidade, é necessário modificar vários locais diferentes no código.",Não,Shotgun Surgery,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
159,S05,arcelli_fontana_2015,Type Checking,"Um código condicional complexo que seleciona uma variante de um algoritmo com base no valor de um atributo, o que geralmente pode ser simplificado com polimorfismo.",Não,Switch Statement / Type Checking,Complexidade,Não,,,,fora do catálogo: estudo não é de PHP,
160,S13,bessghaier_diffusion_2020,Excessive Number of Children (ENOC),"Uma classe com muitos descendentes indica uma hierarquia de classes desequilibrada, o que pode dificultar a manutenção do código.",Sim,Number of Children,Herança e acoplamento,Sim,23,Number of Children,G,ok (24/09/2026),
161,S13,bessghaier_diffusion_2020,Excessive Depth of Inheritance (EDOI),"Uma classe com uma árvore de herança profunda pode tornar o código difícil de manter, pois aumenta o acoplamento entre as classes.",Sim,Depth of Inheritance,Herança e acoplamento,Sim,22,Depth of Inheritance,G,ok (24/09/2026),
162,S13,bessghaier_diffusion_2020,High Coupling (HC),"Uma classe com muitas dependências dificulta a manutenção e a evolução do sistema, já que qualquer alteração pode ter um grande efeito cascata.",Sim,Coupling Between Objects,Herança e acoplamento,Sim,21,Coupling Between Objects,G,ok (24/09/2026),
163,S13,bessghaier_diffusion_2020,Empty Catch Block (ECB),"Um bloco catch vazio dificulta a identificação e resolução de falhas na execução, pois não há tratamento adequado para erros.",Sim,Empty Catch Block,Exceções,Sim,29,Empty Catch Block,G,ok (24/09/2026),
164,S13,bessghaier_diffusion_2020,Goto Statement (GTS),"O uso de instruções goto torna a lógica do código mais difícil de entender, comprometendo a legibilidade e a estrutura.",Sim,Goto Statement,PHP/web,Sim,2,Goto Statement,G,ok (24/09/2026),
165,S13,bessghaier_diffusion_2020,High Method Complexity (HMC),"Representa a complexidade ciclomática de um método, ou seja, o número de pontos de decisão (if, for, while, etc.). Quanto maior a complexidade, maior o número de casos de teste necessários para verificar todas as execuções possíveis.",Sim,Cyclomatic Complexity,Complexidade,Sim,18,Cyclomatic Complexity,G,ok (24/09/2026),
166,S13,bessghaier_diffusion_2020,High NPath Complexity (HNPC),Refere-se ao número de caminhos de execução possíveis em um código com muitos condicionais aninhados (if/else). Isso reduz a legibilidade e aumenta as dificuldades de teste.,Sim,NPath Complexity,Complexidade,Sim,19,NPath Complexity,G,ok (24/09/2026),
167,S13,bessghaier_diffusion_2020,Excessive Method Length (EML),"Quando um método excede 100 linhas de código, ele se torna extenso e provavelmente processa dados de forma complexa, dificultando sua compreensão e manutenção.",Sim,Excessive Method Length,Tamanho,Sim,12,Excessive Method Length,G,ok (24/09/2026),
168,S13,bessghaier_diffusion_2020,Excessive Class Length (ECL),"Classes grandes representam um desafio para manutenção e eficiência, pois seu tamanho geralmente implica em uma responsabilidade excessiva que deveria ser dividida.",Sim,Excessive Class Length,Tamanho,Sim,11,Excessive Class Length,G,ok (24/09/2026),
169,S13,bessghaier_diffusion_2020,Excessive Parameter List (EPL),"Um método com muitos parâmetros pode indicar que ele está executando muitas tarefas, tornando-se mais difícil de entender e testar.",Sim,Excessive Parameter List,Tamanho,Sim,13,Excessive Parameter List,G,ok (24/09/2026),
170,S13,bessghaier_diffusion_2020,Too Many Public Methods (TMPM),"Um número elevado de métodos públicos indica que a classe não preserva a encapsulação, o que aumenta o esforço para manter o comportamento interno da classe sem quebrar dependências.",Sim,Too Many Public Methods,Tamanho,Sim,15,Too Many Public Methods,G,ok (24/09/2026),
171,S13,bessghaier_diffusion_2020,Too Many Methods (TMM),"Um sintoma de que a classe contém métodos que provavelmente não são de sua responsabilidade, o que diminui a coesão e dificulta a manutenibilidade.",Sim,Too Many Methods,Tamanho,Sim,14,Too Many Methods,G,ok (24/09/2026),
172,S18,rubert_farias_2022,Duplicate codes,"Segmentos de código que são repetidos, o que aumenta o esforço de manutenção e a possibilidade de inconsistências.",Sim,Duplicate Code,Duplicação,Sim,24,Duplicate Code,G,ok (24/09/2026),
173,S18,rubert_farias_2022,Code complexity,"A quantidade de caminhos e ramificações no código, que dificultam a compreensão e a manutenção.",Sim,Cyclomatic Complexity,Complexidade,Sim,18,Cyclomatic Complexity,G,ok (24/09/2026),
174,S20,rio_abreu_2023,Cyclomatic Complexity (Complexidade Ciclomática),"Complexidade excessiva em um método, calculada pelo número de pontos de decisão mais um. Limite: 10.",Sim,Cyclomatic Complexity,Complexidade,Sim,18,Cyclomatic Complexity,G,ok (24/09/2026),
175,S20,rio_abreu_2023,NPath Complexity (Complexidade de Caminho N),Número excessivo de caminhos de execução acíclicos em um método. Limite: 200.,Sim,NPath Complexity,Complexidade,Sim,19,NPath Complexity,G,ok (24/09/2026),
176,S20,rio_abreu_2023,Excessive Method Length (Método Excessivamente Longo),"Método que realiza muitas operações, tornando-se longo e difícil de entender. Limite: 100 linhas.",Sim,Excessive Method Length,Tamanho,Sim,12,Excessive Method Length,G,ok (24/09/2026),
177,S20,rio_abreu_2023,Excessive Class Length (Classe Excessivamente Longa),"Classe que contém muito código, indicando responsabilidade excessiva. Limite: 1000 linhas.",Sim,Excessive Class Length,Tamanho,Sim,11,Excessive Class Length,G,ok (24/09/2026),
178,S20,rio_abreu_2023,Excessive Parameter List (Lista de Parâmetros Excessiva),"Método que aceita um número excessivo de parâmetros, dificultando a compreensão e manutenção. Limite: 10 parâmetros.",Sim,Excessive Parameter List,Tamanho,Sim,13,Excessive Parameter List,G,ok (24/09/2026),
179,S20,rio_abreu_2023,Excessive Public Count (Contagem Pública Excessiva),"Classe com muitos métodos ou atributos públicos, sugerindo um acoplamento excessivo. Limite: 45 métodos/atributos.",Sim,Excessive Public Count,Tamanho,Sim,17,Excessive Public Count,G,ok (24/09/2026),
180,S20,rio_abreu_2023,Too Many Fields (Muitos Campos),"Classe com um número excessivo de campos, indicando possíveis responsabilidades múltiplas. Limite: 15 campos.",Sim,Too Many Fields,Tamanho,Sim,16,Too Many Fields,G,ok (24/09/2026),
181,S20,rio_abreu_2023,Too Many Methods (Muitos Métodos),"Classe com muitos métodos, sugerindo uma sobrecarga de funcionalidades. Limite: 25 métodos.",Sim,Too Many Methods,Tamanho,Sim,14,Too Many Methods,G,ok (24/09/2026),
182,S20,rio_abreu_2023,Too Many Public Methods (Muitos Métodos Públicos),"Classe com muitos métodos públicos, o que pode indicar uma exposição excessiva de funcionalidades. Limite: 10 métodos.",Sim,Too Many Public Methods,Tamanho,Sim,15,Too Many Public Methods,G,ok (24/09/2026),
183,S20,rio_abreu_2023,Excessive Class Complexity (Complexidade de Classe Excessiva),Complexidade total excessiva de todos os métodos em uma classe. Limite: 50.,Sim,Excessive Class Complexity,Complexidade,Sim,20,Excessive Class Complexity,G,ok (24/09/2026),
184,S20,rio_abreu_2023,Number of Children (Número de Filhos),"Classe com um número excessivo de subclasses, o que pode tornar o código difícil de gerenciar. Limite: 15 subclasses.",Sim,Number of Children,Herança e acoplamento,Sim,23,Number of Children,G,ok (24/09/2026),
185,S20,rio_abreu_2023,Depth of Inheritance (Profundidade de Herança),"Profundidade excessiva da hierarquia de herança, dificultando a rastreabilidade do código. Limite: 6 níveis.",Sim,Depth of Inheritance,Herança e acoplamento,Sim,22,Depth of Inheritance,G,ok (24/09/2026),
186,S20,rio_abreu_2023,Coupling Between Objects (Acoplamento Entre Objetos),"Classe com muitas dependências, indicando alto acoplamento e reduzindo a modularidade. Limite: 13 dependências.",Sim,Coupling Between Objects,Herança e acoplamento,Sim,21,Coupling Between Objects,G,ok (24/09/2026),
187,S20,rio_abreu_2023,Development Code Fragment (Fragmento de Código de Desenvolvimento),"Fragmento de código que deve ser usado apenas durante o desenvolvimento, como var_dump() ou print_r(). Limite: 1 ocorrência.",Sim,Development Code Fragment,PHP/web,Sim,1,Development Code Fragment,P,ok (24/09/2026),
188,S20,rio_abreu_2023,Unused Private Field (Campo Privado Não Utilizado),"Campo privado que não é usado em lugar algum, indicando código morto. Limite: 1 ocorrência.",Sim,Unused Private Field,Código não utilizado,Sim,25,Unused Private Field,G,ok (24/09/2026),
189,S20,rio_abreu_2023,Unused Local Variable (Variável Local Não Utilizada),"Variável local que é declarada, mas nunca utilizada. Limite: 1 ocorrência.",Sim,Unused Local Variable,Código não utilizado,Sim,27,Unused Local Variable,G,ok (24/09/2026),
190,S20,rio_abreu_2023,Unused Private Method (Método Privado Não Utilizado),"Método privado que não é invocado em lugar algum, indicando código morto. Limite: 1 ocorrência.",Sim,Unused Private Method,Código não utilizado,Sim,26,Unused Private Method,G,ok (24/09/2026),
191,S20,rio_abreu_2023,Unused Formal Parameter (Parâmetro Formal Não Utilizado),Parâmetro de método que nunca é utilizado dentro do método. Limite: 1 ocorrência.,Sim,Unused Formal Parameter,Código não utilizado,Sim,28,Unused Formal Parameter,G,ok (24/09/2026),
192,S09,soltanifar_2016,Incrementadores confusos,Uso de incrementadores de forma que dificulta a compreensão.,Sim,Incrementadores confusos,Complexidade,Não,,,,"fora do catálogo: CS do Projeto 1 (Java, PMD) de Soltanifar, confirmado no artigo original, Seções 3.1 e 3.3 (24/09/2026)","A planilha de extração marcou como específico de PHP, mas o artigo mostra que vem da análise com PMD do projeto Java."
193,S09,soltanifar_2016,Uso confuso de loops,Utilização de loops de maneira não clara.,Sim,Uso confuso de loops,Complexidade,Não,,,,"fora do catálogo: CS do Projeto 1 (Java, PMD) de Soltanifar, confirmado no artigo original, Seções 3.1 e 3.3 (24/09/2026)","A planilha de extração marcou como específico de PHP, mas o artigo mostra que vem da análise com PMD do projeto Java."
194,S09,soltanifar_2016,Código desnecessário,"Presença de código redundante ou não utilizado, como retornos desnecessários e parênteses inúteis.",Sim,Dead Code / código desnecessário,Código não utilizado,Não,,,,"fora do catálogo: CS do Projeto 1 (Java, PMD) de Soltanifar, confirmado no artigo original, Seções 3.1 e 3.3 (24/09/2026)","A planilha de extração marcou como específico de PHP, mas o artigo mostra que vem da análise com PMD do projeto Java."
195,S09,soltanifar_2016,Tratamento de exceções rigoroso,Maneira inadequada de lançar e capturar exceções.,Sim,Tratamento de exceções rigoroso,Exceções,Não,,,,"fora do catálogo: CS do Projeto 1 (Java, PMD) de Soltanifar, confirmado no artigo original, Seções 3.1 e 3.3 (24/09/2026)","A planilha de extração marcou como específico de PHP, mas o artigo mostra que vem da análise com PMD do projeto Java."
196,S09,soltanifar_2016,Manipulação de strings e buffers de strings,Problemas relacionados ao uso incorreto de strings e buffers.,Sim,Manipulação de strings e buffers,Outros,Não,,,,"fora do catálogo: CS do Projeto 1 (Java, PMD) de Soltanifar, confirmado no artigo original, Seções 3.1 e 3.3 (24/09/2026)","A planilha de extração marcou como específico de PHP, mas o artigo mostra que vem da análise com PMD do projeto Java."
197,S09,soltanifar_2016,Nomes mal definidos,Nomes de variáveis e identificadores que não seguem boas práticas.,Sim,Nomes mal definidos,Estilo,Não,,,,"fora do catálogo: CS do Projeto 1 (Java, PMD) de Soltanifar, confirmado no artigo original, Seções 3.1 e 3.3 (24/09/2026)","A planilha de extração marcou como específico de PHP, mas o artigo mostra que vem da análise com PMD do projeto Java."
198,S09,soltanifar_2016,Regras de colocação de chaves,Erros de posicionamento de chaves em blocos de código.,Sim,Regras de colocação de chaves,Estilo,Não,,,,"fora do catálogo: CS do Projeto 1 (Java, PMD) de Soltanifar, confirmado no artigo original, Seções 3.1 e 3.3 (24/09/2026)","A planilha de extração marcou como específico de PHP, mas o artigo mostra que vem da análise com PMD do projeto Java."
199,S09,soltanifar_2016,Classes sobrecarregadas,Classes que têm uma quantidade excessiva de código.,Sim,Excessive Class Length,Tamanho,Não,,,,"fora do catálogo: CS do Projeto 1 (Java, PMD) de Soltanifar, confirmado no artigo original, Seções 3.1 e 3.3 (24/09/2026)","A planilha de extração marcou como específico de PHP, mas o artigo mostra que vem da análise com PMD do projeto Java."
200,S09,soltanifar_2016,Código duplicado,Partes do código que são copiadas em diferentes lugares.,Sim,Duplicate Code,Duplicação,Não,,,,"fora do catálogo: CS do Projeto 1 (Java, PMD) de Soltanifar, confirmado no artigo original, Seções 3.1 e 3.3 (24/09/2026)","A planilha de extração marcou como específico de PHP, mas o artigo mostra que vem da análise com PMD do projeto Java."
201,S09,soltanifar_2016,Blocos vazios,Presença de blocos de código que não contêm instruções.,Sim,Blocos vazios,Exceções,Não,,,,"fora do catálogo: CS do Projeto 1 (Java, PMD) de Soltanifar, confirmado no artigo original, Seções 3.1 e 3.3 (24/09/2026)","A planilha de extração marcou como específico de PHP, mas o artigo mostra que vem da análise com PMD do projeto Java."
202,S09,soltanifar_2016,Implementações de clones,Uso inadequado do método clone.,Sim,Implementações de clones (uso do método clone),Outros,Não,,,,"fora do catálogo: CS do Projeto 1 (Java, PMD) de Soltanifar, confirmado no artigo original, Seções 3.1 e 3.3 (24/09/2026)","A planilha de extração marcou como específico de PHP, mas o artigo mostra que vem da análise com PMD do projeto Java."
