#,Nome do Code Smell (CS),CS Específico do PHP,Descrição,Artigo citado,Texto relevante
141,CSS em JavaScript,Não,ocorre quando propriedades de estilo (CSS) são definidas diretamente no código JavaScript. O ideal seria separar o estilo (CSS) da lógica de controle (JS) em arquivos distintos.,Detection of embedded code smells in dynamic web applications,
142,CSS em HTML,Não,"ocorre quando estilos são definidos diretamente dentro do HTML, em atributos style de tags HTML, em vez de serem separados em folhas de estilo (CSS). Isso mistura o conteúdo de apresentação (HTML) com o estilo (CSS).",Detection of embedded code smells in dynamic web applications,
143,Fontes dispersas,Não,"ocorre quando porções de código relacionadas estão espalhadas por diferentes funções no código do servidor. Isso dificulta a manutenção, pois, por exemplo, uma tag HTML de abertura e fechamento pode ser gerada a partir de diferentes funções, dificultando a validação e modificação do código.",Detection of embedded code smells in dynamic web applications,
144,Duplicação de JavaScript,Não,ocorre quando trechos duplicados de código JavaScript aparecem embutidos no código do servidor. Esse tipo de duplicação reduz a modularidade e dificulta a manutenção.,Detection of embedded code smells in dynamic web applications,
145,Erro de sintaxe em HTML,Não,ocorre quando o HTML gerado não está em conformidade com as especificações da linguagem (ex.: falta de tags de fechamento). Esses erros tornam o código mais difícil de manter e corrigir.,Detection of embedded code smells in dynamic web applications,
146,God Class,Não,"Refere-se a uma classe que centraliza muitas responsabilidades, o que indica falta de coesão. Esse tipo de smell pode tornar o código difícil de manter e aumentar o acoplamento entre classes.",Do Research and Practice of Code Smell Identification Walk Together? A Social Representations Analysis,
147,Switch Statement,Não,"Corresponde ao uso excessivo de estruturas de decisão condicionais (switch ou if-else), indicando potencial falta de uso de polimorfismo. Pode dificultar a compreensão e a manutenção do código.",Do Research and Practice of Code Smell Identification Walk Together? A Social Representations Analysis,
148,Long Method,Não,"Um método que é extenso demais, geralmente contendo múltiplas responsabilidades. Esse tipo de smell compromete a legibilidade do código e dificulta a reutilização.",Do Research and Practice of Code Smell Identification Walk Together? A Social Representations Analysis,
149,Feature Envy,Não,"Ocorre quando um método em uma classe acessa excessivamente dados de outra classe. Isso indica que o método pode estar melhor alocado em outra classe, reduzindo o acoplamento.",Do Research and Practice of Code Smell Identification Walk Together? A Social Representations Analysis,
150,Duplicated Code,Não,"Refere-se a blocos de código copiados em vários lugares, o que aumenta o esforço de manutenção e a possibilidade de erros, pois quaisquer alterações precisam ser replicadas em todos os locais onde o código foi duplicado",Do Research and Practice of Code Smell Identification Walk Together? A Social Representations Analysis,
151,God Class,Não,"Uma classe que executa muito trabalho sozinha, delegando apenas detalhes menores para outras classes triviais e utilizando dados de outras classes. Isso impacta negativamente a reutilização e a compreensão daquela parte do sistema.",On Experimenting Refactoring Tools to Remove Code Smells,
152,Brain Method,Não,"Método que tende a centralizar a funcionalidade de uma classe, assim como uma God Class pode centralizar a funcionalidade de um subsistema ou de todo o sistema.",On Experimenting Refactoring Tools to Remove Code Smells,
153,Brain Class,Não,"Classe que acumula uma quantidade excessiva de lógica e funcionalidade, geralmente em métodos afetados pelo Brain Method.",On Experimenting Refactoring Tools to Remove Code Smells,
154,Data Clumps,Não,"Conjuntos de dados que estão frequentemente juntos e, idealmente, deveriam ser encapsulados em seu próprio objeto.",On Experimenting Refactoring Tools to Remove Code Smells,
155,Feature Envy,Não,"Quando um método faz muitas chamadas a outras classes para obter dados ou funcionalidade, demonstrando ""inveja"" dos dados de outra classe.",On Experimenting Refactoring Tools to Remove Code Smells,
156,Intensive Coupling,Não,"Ocorre quando um método está fortemente acoplado a muitas outras operações no sistema, que estão concentradas em uma ou poucas classes.",On Experimenting Refactoring Tools to Remove Code Smells,
157,Long Method,Não,"Um método que é longo em termos de linhas de código, o que pode dificultar a compreensão e manutenção do código. Métodos curtos facilitam a extensão e a manutenção do sistema.",On Experimenting Refactoring Tools to Remove Code Smells,
158,Shotgun Surgery,Não,"Situação em que, para fazer uma pequena alteração em uma funcionalidade, é necessário modificar vários locais diferentes no código.",On Experimenting Refactoring Tools to Remove Code Smells,
159,Type Checking,Não,"Um código condicional complexo que seleciona uma variante de um algoritmo com base no valor de um atributo, o que geralmente pode ser simplificado com polimorfismo.",On Experimenting Refactoring Tools to Remove Code Smells,
160,Excessive Number of Children (ENOC),Sim,"Uma classe com muitos descendentes indica uma hierarquia de classes desequilibrada, o que pode dificultar a manutenção do código.",On the Diffusion and Impact of Code Smells in Web Applications,
161,Excessive Depth of Inheritance (EDOI),Sim,"Uma classe com uma árvore de herança profunda pode tornar o código difícil de manter, pois aumenta o acoplamento entre as classes.",On the Diffusion and Impact of Code Smells in Web Applications,
162,High Coupling (HC),Sim,"Uma classe com muitas dependências dificulta a manutenção e a evolução do sistema, já que qualquer alteração pode ter um grande efeito cascata.",On the Diffusion and Impact of Code Smells in Web Applications,
163,Empty Catch Block (ECB),Sim,"Um bloco catch vazio dificulta a identificação e resolução de falhas na execução, pois não há tratamento adequado para erros.",On the Diffusion and Impact of Code Smells in Web Applications,
164,Goto Statement (GTS),Sim,"O uso de instruções goto torna a lógica do código mais difícil de entender, comprometendo a legibilidade e a estrutura.",On the Diffusion and Impact of Code Smells in Web Applications,
165,High Method Complexity (HMC),Sim,"Representa a complexidade ciclomática de um método, ou seja, o número de pontos de decisão (if, for, while, etc.). Quanto maior a complexidade, maior o número de casos de teste necessários para verificar todas as execuções possíveis.",On the Diffusion and Impact of Code Smells in Web Applications,
166,High NPath Complexity (HNPC),Sim,Refere-se ao número de caminhos de execução possíveis em um código com muitos condicionais aninhados (if/else). Isso reduz a legibilidade e aumenta as dificuldades de teste.,On the Diffusion and Impact of Code Smells in Web Applications,
167,Excessive Method Length (EML),Sim,"Quando um método excede 100 linhas de código, ele se torna extenso e provavelmente processa dados de forma complexa, dificultando sua compreensão e manutenção.",On the Diffusion and Impact of Code Smells in Web Applications,
168,Excessive Class Length (ECL),Sim,"Classes grandes representam um desafio para manutenção e eficiência, pois seu tamanho geralmente implica em uma responsabilidade excessiva que deveria ser dividida.",On the Diffusion and Impact of Code Smells in Web Applications,
169,Excessive Parameter List (EPL),Sim,"Um método com muitos parâmetros pode indicar que ele está executando muitas tarefas, tornando-se mais difícil de entender e testar.",On the Diffusion and Impact of Code Smells in Web Applications,
170,Too Many Public Methods (TMPM),Sim,"Um número elevado de métodos públicos indica que a classe não preserva a encapsulação, o que aumenta o esforço para manter o comportamento interno da classe sem quebrar dependências.",On the Diffusion and Impact of Code Smells in Web Applications,
171,Too Many Methods (TMM),Sim,"Um sintoma de que a classe contém métodos que provavelmente não são de sua responsabilidade, o que diminui a coesão e dificulta a manutenibilidade.",On the Diffusion and Impact of Code Smells in Web Applications,
172,Duplicate codes,Sim,"Segmentos de código que são repetidos, o que aumenta o esforço de manutenção e a possibilidade de inconsistências.",On the effects of continuous delivery on code quality: A case study in industry,
173,Code complexity,Sim,"A quantidade de caminhos e ramificações no código, que dificultam a compreensão e a manutenção.",On the effects of continuous delivery on code quality: A case study in industry,
174,Cyclomatic Complexity (Complexidade Ciclomática),Sim,"Complexidade excessiva em um método, calculada pelo número de pontos de decisão mais um. Limite: 10.","PHP code smells in web apps: Evolution, survival and anomalies",
175,NPath Complexity (Complexidade de Caminho N),Sim,Número excessivo de caminhos de execução acíclicos em um método. Limite: 200.,"PHP code smells in web apps: Evolution, survival and anomalies",
176,Excessive Method Length (Método Excessivamente Longo),Sim,"Método que realiza muitas operações, tornando-se longo e difícil de entender. Limite: 100 linhas.","PHP code smells in web apps: Evolution, survival and anomalies",
177,Excessive Class Length (Classe Excessivamente Longa),Sim,"Classe que contém muito código, indicando responsabilidade excessiva. Limite: 1000 linhas.","PHP code smells in web apps: Evolution, survival and anomalies",
178,Excessive Parameter List (Lista de Parâmetros Excessiva),Sim,"Método que aceita um número excessivo de parâmetros, dificultando a compreensão e manutenção. Limite: 10 parâmetros.","PHP code smells in web apps: Evolution, survival and anomalies",
179,Excessive Public Count (Contagem Pública Excessiva),Sim,"Classe com muitos métodos ou atributos públicos, sugerindo um acoplamento excessivo. Limite: 45 métodos/atributos.","PHP code smells in web apps: Evolution, survival and anomalies",
180,Too Many Fields (Muitos Campos),Sim,"Classe com um número excessivo de campos, indicando possíveis responsabilidades múltiplas. Limite: 15 campos.","PHP code smells in web apps: Evolution, survival and anomalies",
181,Too Many Methods (Muitos Métodos),Sim,"Classe com muitos métodos, sugerindo uma sobrecarga de funcionalidades. Limite: 25 métodos.","PHP code smells in web apps: Evolution, survival and anomalies",
182,Too Many Public Methods (Muitos Métodos Públicos),Sim,"Classe com muitos métodos públicos, o que pode indicar uma exposição excessiva de funcionalidades. Limite: 10 métodos.","PHP code smells in web apps: Evolution, survival and anomalies",
183,Excessive Class Complexity (Complexidade de Classe Excessiva),Sim,Complexidade total excessiva de todos os métodos em uma classe. Limite: 50.,"PHP code smells in web apps: Evolution, survival and anomalies",
184,Number of Children (Número de Filhos),Sim,"Classe com um número excessivo de subclasses, o que pode tornar o código difícil de gerenciar. Limite: 15 subclasses.","PHP code smells in web apps: Evolution, survival and anomalies",
185,Depth of Inheritance (Profundidade de Herança),Sim,"Profundidade excessiva da hierarquia de herança, dificultando a rastreabilidade do código. Limite: 6 níveis.","PHP code smells in web apps: Evolution, survival and anomalies",
186,Coupling Between Objects (Acoplamento Entre Objetos),Sim,"Classe com muitas dependências, indicando alto acoplamento e reduzindo a modularidade. Limite: 13 dependências.","PHP code smells in web apps: Evolution, survival and anomalies",
187,Development Code Fragment (Fragmento de Código de Desenvolvimento),Sim,"Fragmento de código que deve ser usado apenas durante o desenvolvimento, como var_dump() ou print_r(). Limite: 1 ocorrência.","PHP code smells in web apps: Evolution, survival and anomalies",
188,Unused Private Field (Campo Privado Não Utilizado),Sim,"Campo privado que não é usado em lugar algum, indicando código morto. Limite: 1 ocorrência.","PHP code smells in web apps: Evolution, survival and anomalies",
189,Unused Local Variable (Variável Local Não Utilizada),Sim,"Variável local que é declarada, mas nunca utilizada. Limite: 1 ocorrência.","PHP code smells in web apps: Evolution, survival and anomalies",
190,Unused Private Method (Método Privado Não Utilizado),Sim,"Método privado que não é invocado em lugar algum, indicando código morto. Limite: 1 ocorrência.","PHP code smells in web apps: Evolution, survival and anomalies",
191,Unused Formal Parameter (Parâmetro Formal Não Utilizado),Sim,Parâmetro de método que nunca é utilizado dentro do método. Limite: 1 ocorrência.,"PHP code smells in web apps: Evolution, survival and anomalies",
192,Incrementadores confusos,Sim,Uso de incrementadores de forma que dificulta a compreensão.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
193,Uso confuso de loops,Sim,Utilização de loops de maneira não clara.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
194,Código desnecessário,Sim,"Presença de código redundante ou não utilizado, como retornos desnecessários e parênteses inúteis.",Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
195,Tratamento de exceções rigoroso,Sim,Maneira inadequada de lançar e capturar exceções.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
196,Manipulação de strings e buffers de strings,Sim,Problemas relacionados ao uso incorreto de strings e buffers.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
197,Nomes mal definidos,Sim,Nomes de variáveis e identificadores que não seguem boas práticas.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
198,Regras de colocação de chaves,Sim,Erros de posicionamento de chaves em blocos de código.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
199,Classes sobrecarregadas,Sim,Classes que têm uma quantidade excessiva de código.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
200,Código duplicado,Sim,Partes do código que são copiadas em diferentes lugares.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
201,Blocos vazios,Sim,Presença de blocos de código que não contêm instruções.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
202,Implementações de clones,Sim,Uso inadequado do método clone.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
203,Otimização,Sim,Problemas que afetam o desempenho do código.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
204,Diretrizes de segurança do código,Sim,Violações de boas práticas relacionadas à segurança.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
205,Ausência de ponto e vírgula,Sim,Problema em JavaScript onde faltam pontos e vírgulas.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
206,Tags de parâmetro mal agrupadas,Sim,Problema de formatação de tags em PHP.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
207,Falta de comentários de função,Sim,Funções sem comentários de documentação.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
208,Falta de tag @return em comentários,Sim,Falta de descrição de retorno nos comentários de função.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
209,Espaçamento incorreto após vírgulas,Sim,Problema de estilo de código onde não há espaço após vírgulas.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
210,Parênteses de funções em múltiplas linhas,Sim,Uso inadequado de parênteses em funções de múltiplas linhas.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
211,Uso de comentários de estilo /**,Sim,Requisitos de usar um estilo específico de comentário.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
212,Data Class,Não,"Classes que contêm apenas campos e métodos de acesso (getters e setters), sem implementar funcionalidades específicas.",To what extent can maintenance problems be predicted by code smell detection? – An empirical study,
213,Data Clumps,Não,"Conjuntos de dados que aparecem sempre juntos, dentro de uma classe ou entre classes.",To what extent can maintenance problems be predicted by code smell detection? – An empirical study,
214,Duplicated Code in Conditional Branches,Não,Código com estrutura semelhante ou idêntica em diferentes ramos de uma condição.,To what extent can maintenance problems be predicted by code smell detection? – An empirical study,
215,Feature Envy,Não,Um método que demonstra mais interesse em dados de outra classe do que da própria classe em que está. É recomendável mover esse método para a classe que contém a maioria dos dados que ele usa.,To what extent can maintenance problems be predicted by code smell detection? – An empirical study,
216,God (Large) Class,Não,Uma classe que centraliza muitas responsabilidades em relação às classes com as quais está acoplada. Viola o princípio de decomposição e dificulta a manutenção.,To what extent can maintenance problems be predicted by code smell detection? – An empirical study,
217,God (Long) Method,Não,"Um método que é muito extenso comparado aos outros métodos da mesma classe, centralizando grande parte da funcionalidade da classe.",To what extent can maintenance problems be predicted by code smell detection? – An empirical study,
218,Misplaced Class,Não,"Classes que, em pacotes “God”, precisam mais de outras classes de pacotes diferentes do que de classes de seu próprio pacote.",To what extent can maintenance problems be predicted by code smell detection? – An empirical study,
219,Refused Bequest,Não,Subclasses que não desejam ou não precisam de tudo que herdaram da classe pai.,To what extent can maintenance problems be predicted by code smell detection? – An empirical study,
220,Shotgun Surgery,Não,Uma mudança em uma classe que exige várias pequenas mudanças em diversas outras classes.,To what extent can maintenance problems be predicted by code smell detection? – An empirical study,
221,Temporary Variable for Various Purposes,Não,"Variáveis temporárias que são usadas em diferentes contextos, o que pode levar a confusão e a introdução de erros.",To what extent can maintenance problems be predicted by code smell detection? – An empirical study,
222,Use Interface Instead of Implementation,Não,"Idealmente, deve-se evitar casting de classes para implementações específicas, definindo e implementando uma interface no lugar.",To what extent can maintenance problems be predicted by code smell detection? – An empirical study,
223,Interface Segregation Principle (ISP) Violation,Não,"A dependência de uma classe em relação a outra deve ser com a menor interface possível. Clientes não devem ser forçados a depender de métodos que não usam, pois isso cria acoplamento.",To what extent can maintenance problems be predicted by code smell detection? – An empirical study,
224,Implicitly Granted Privileges,Sim,Privilégios Implicitamente Concedidos,Semantic Smells and Errors in Access Control Models: A Case Study in PHP,
225,Semantically Related Privileges,Sim,Privilégios Semanticamente Relacionados,Semantic Smells and Errors in Access Control Models: A Case Study in PHP,
